Ligne (ID);Ligne (nom court);Code du sens;Destination;Point d'arrêt (ID);Point d'arrêt (nom);Coordonnées;Arrivée;Départ;Précision
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T12:51:56+01:00;2021-03-24T12:52:21+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T14:19:25+01:00;2021-03-24T14:19:43+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T13:09:55+01:00;2021-03-24T13:10:13+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T12:59:36+01:00;2021-03-24T13:00:01+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T14:25:25+01:00;2021-03-24T14:25:43+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T13:15:40+01:00;2021-03-24T13:15:58+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T13:01:31+01:00;2021-03-24T13:01:56+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T14:27:25+01:00;2021-03-24T14:27:43+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T13:19:30+01:00;2021-03-24T13:19:48+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T13:18:46+01:00;2021-03-24T13:19:11+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T14:29:25+01:00;2021-03-24T14:29:43+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T13:25:15+01:00;2021-03-24T13:25:33+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T13:28:21+01:00;2021-03-24T13:28:46+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T14:33:25+01:00;2021-03-24T14:33:43+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T13:31:00+01:00;2021-03-24T13:31:18+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T13:30:16+01:00;2021-03-24T13:30:41+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T14:43:25+01:00;2021-03-24T14:43:43+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T13:36:45+01:00;2021-03-24T13:37:03+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T13:32:11+01:00;2021-03-24T13:32:36+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T14:45:25+01:00;2021-03-24T14:45:43+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T13:38:40+01:00;2021-03-24T13:38:58+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T13:34:06+01:00;2021-03-24T13:34:31+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T14:47:25+01:00;2021-03-24T14:47:43+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T13:42:30+01:00;2021-03-24T13:42:48+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T13:36:01+01:00;2021-03-24T13:36:26+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T14:49:25+01:00;2021-03-24T14:49:43+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T13:50:10+01:00;2021-03-24T13:50:28+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T13:37:56+01:00;2021-03-24T13:38:21+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T14:53:25+01:00;2021-03-24T14:53:43+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T14:05:28+01:00;2021-03-24T14:05:46+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T13:55:11+01:00;2021-03-24T13:55:36+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T14:59:25+01:00;2021-03-24T14:59:50+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T14:07:26+01:00;2021-03-24T14:07:44+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T13:57:06+01:00;2021-03-24T13:57:31+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T15:03:25+01:00;2021-03-24T15:03:50+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T14:11:18+01:00;2021-03-24T14:11:36+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T13:59:01+01:00;2021-03-24T13:59:26+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T15:11:25+01:00;2021-03-24T15:11:50+01:00;Applicable
